"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" ","Letterkenny, Donegal Division",101
" ","Lifford, Donegal Division",5
" ","Liscarroll, Cork North Division",2
" ","Lisdoonvarna, Clare Division",6
" ","Lismore, Waterford Division",0
" ","Lissycasey, Clare Division",2
" ","Listowel, Kerry Division",18
" ","Littleton, Tipperary Division",2
" ","Lixnaw, Kerry Division",2
" ","Longford, Roscommon/Longford Division",36
" ","Longwood, Meath Division",8
" ","Lorrha, Tipperary Division",1
" ","Loughrea, Galway Division",16
" ","Louisburgh, Mayo Division",1
" ","Louth, Louth Division",3
" ","Lucan, D.M.R. Western Division",33
" ","Lusk, D.M.R. Northern Division",23
" ","Macroom, Cork West Division",21
" ","Maigh Cuilinn, Galway Division",0
" ","Malahide, D.M.R. Northern Division",25
" ","Mallow, Cork North Division",47
" ","Manorhamilton, Sligo/Leitrim Division",8
" ","Mayfield, Cork City Division",28
" ","Maynooth, Kildare Division",27
" ","Mayorstone Park, Limerick Division",49
" ","Midleton, Cork North Division",27
" ","Milford, Co Cork, Cork North Division",2
" ","Milford, Co Donegal, Donegal Division",12
" ","Millstreet, Co. Cork, Cork West Division",1
" ","Milltown, Galway Division",0
" ","Miltown Malbay, Clare Division",7
" ","Mitchelstown, Cork North Division",10
" ","Moate, Westmeath Division",3
" ","Mohill, Sligo/Leitrim Division",4
" ","Monaghan, Cavan/Monaghan Division",43
" ","Monasterevin, Kildare Division",16
" ","Moneygall, Tipperary Division",0
" ","Monivea, Galway Division",7
" ","Mooncoin, Kilkenny/Carlow Division",3
" ","Mountbellew, Galway Division",7
" ","Mountcharles, Donegal Division",2
" ","Mountjoy, D.M.R. North Central Division",111
" ","Mountmellick, Laois/Offaly Division",32
" ","Mountrath, Laois/Offaly Division",11
" ","Moville, Donegal Division",9
" ","Moylough, Galway Division",0
" ","Moyne, Tipperary Division",0
" ","Muff, Donegal Division",7
" ","Muine Bheag, Kilkenny/Carlow Division",10
" ","Mullagh, Cavan/Monaghan Division",1
" ","Mullinahone, Tipperary Division",2
" ","Mullinavat, Kilkenny/Carlow Division",1
" ","Mullingar, Westmeath Division",64
" ","Multyfarnham, Westmeath Division",2
" ","Murroe, Limerick Division",3
" ","Myshall, Kilkenny/Carlow Division",0
" ","Na Cealla Beaga, Donegal Division",7
" ","Na Gleannta, Donegal Division",0
" ","Naas, Kildare Division",42
" ","Navan, Meath Division",68
" ","Nenagh, Tipperary Division",22
" ","New Ross, Wexford Division",34
" ","Newbridge, Kildare Division",50
" ","Newcastle West, Limerick Division",13
" ","Newmarket on Fergus, Clare Division",6
" ","Newmarket, Cork North Division",4
" ","Newport, Co Mayo, Mayo Division",0
" ","Newport, Co Tipperary, Tipperary Division",3
" ","Newtowncunningham, Donegal Division",11
" ","Newtownmountkennedy, Wicklow Division",13
" ","Nobber, Meath Division",2
" ","Oldcastle, Meath Division",4
" ","Omeath, Louth Division",0
" ","Oola, Limerick Division",0
